longitude,latitude,junction_type,num_roads,connected_road_indices
103.8463,1.291077,T Shape,3,"[129, 3230, 4922]"
103.844834,1.290703,T Shape,3,"[130, 3781, 5942]"
103.848891,1.285822,T Shape,3,"[133, 2563, 2566]"
103.848721,1.285472,T Shape,3,"[133, 380, 2567]"
103.849578,1.285632,X Shape,4,"[134, 1247, 1500, 4327]"
103.833078,1.293081,T Shape,3,"[136, 2608, 4471]"
103.832576,1.292473,T Shape,3,"[136, 2641, 3957]"
103.82612,1.290501,X Shape,4,"[138, 294, 969, 1109]"
103.825679,1.29051,T Shape,3,"[138, 891, 968]"
103.831429,1.295938,X Shape,4,"[139, 1107, 2637, 2638]"
103.826262,1.290998,T Shape,3,"[140, 890, 2021]"
103.822592,1.288249,Crossing,4,"[141, 650, 3503, 3504]"
103.822666,1.288616,T Shape,3,"[143, 1924, 2698]"
103.845617,1.286315,T Shape,3,"[144, 413, 2394]"
103.845894,1.286159,T Shape,3,"[144, 4727, 4732]"
103.845211,1.286551,X Shape,4,"[145, 1465, 1929, 3137]"
103.845373,1.28645,X Shape,4,"[145, 1682, 1928, 2394]"
103.847168,1.285454,X Shape,4,"[146, 1473, 2542, 4934]"
103.847471,1.285283,T Shape,3,"[146, 4947, 5532]"
103.841215,1.288249,X Shape,4,"[147, 651, 1669, 2038]"
103.838331,1.286086,T Shape,3,"[149, 225, 2407]"
103.838423,1.286026,T Shape,3,"[150, 689, 1597]"
103.833668,1.285382,X Shape,4,"[152, 2496, 2645, 3142]"
103.832778,1.285266,T Shape,3,"[153, 2013, 4650]"
103.837927,1.285957,X Shape,4,"[154, 370, 1611, 1706]"
103.837883,1.286038,X Shape,4,"[154, 384, 2014, 3519]"
103.837486,1.287397,T Shape,3,"[155, 2572, 2836]"
103.843157,1.30095,T Shape,3,"[156, 202, 4679]"
103.84328,1.300956,X Shape,4,"[156, 226, 1372, 2523]"
103.849102,1.288748,O Shape,5,"[158, 1430, 1431, 6214, 6215]"
103.839982,1.286558,T Shape,3,"[159, 4942, 5061]"
103.841113,1.286569,T Shape,3,"[160, 920, 2846]"
103.841734,1.286728,T Shape,3,"[160, 2075, 2855]"
103.842327,1.286705,T Shape,3,"[161, 1667, 1668]"
103.842016,1.286941,T Shape,3,"[161, 1157, 4943]"
103.838707,1.290973,T Shape,3,"[162, 1467, 1506]"
103.821848,1.301193,T Shape,3,"[164, 814, 3912]"
103.822101,1.301332,T Shape,3,"[164, 3078, 3911]"
103.848146,1.299407,Other,3,"[165, 1381, 1384]"
103.846068,1.29996,Crossing,4,"[166, 484, 1325, 4387]"
103.846014,1.299755,T Shape,3,"[166, 1323, 4292]"
103.844592,1.299488,T Shape,3,"[167, 286, 3276]"
103.844748,1.299291,Crossing,4,"[167, 232, 1311, 1312]"
103.842994,1.299265,T Shape,3,"[168, 2518, 4742]"
103.84295,1.300042,X Shape,4,"[168, 638, 643, 1724]"
103.841598,1.299732,X Shape,4,"[169, 3239, 3278, 4756]"
103.841691,1.299894,T Shape,3,"[169, 4389, 4755]"
103.849752,1.304626,T Shape,3,"[171, 3531, 4885]"
103.847984,1.289883,T Shape,3,"[172, 1934, 1935]"
103.847678,1.289216,T Shape,3,"[174, 1937, 4923]"
103.842319,1.290652,T Shape,3,"[176, 463, 466]"
103.837752,1.288767,T Shape,3,"[179, 1047, 1468]"
103.83781,1.288941,X Shape,4,"[179, 1645, 1650, 2041]"
103.832433,1.291447,T Shape,3,"[180, 1678, 4748]"
103.83374,1.291881,T Shape,3,"[182, 2509, 4731]"
103.842463,1.298296,T Shape,3,"[183, 1079, 4788]"
103.842235,1.298627,T Shape,3,"[183, 742, 4791]"
103.845922,1.298022,T Shape,3,"[185, 3192, 5583]"
103.828249,1.297002,T Shape,3,"[186, 1101, 4546]"
103.828982,1.296852,T Shape,3,"[186, 1909, 3041]"
103.828331,1.292996,T Shape,3,"[187, 2130, 2921]"
103.83952,1.304697,T Shape,3,"[189, 4107, 4108]"
103.839514,1.30331,T Shape,3,"[189, 747, 4106]"
103.837763,1.30356,T Shape,3,"[190, 2520, 3891]"
103.838656,1.303264,T Shape,3,"[192, 2519, 3348]"
103.838661,1.303293,T Shape,3,"[192, 3399, 4267]"
103.839052,1.301297,T Shape,3,"[193, 1286, 1334]"
103.839144,1.30193,T Shape,3,"[193, 3347, 3938]"
103.837705,1.30236,T Shape,3,"[194, 3889, 3890]"
103.837849,1.302314,T Shape,3,"[194, 4006, 6402]"
103.834701,1.30435,Crossing,4,"[198, 2529, 4445, 4603]"
103.840068,1.300918,T Shape,3,"[199, 2551, 3209]"
103.840285,1.30159,T Shape,3,"[199, 1287, 3003]"
103.841534,1.302199,T Shape,3,"[200, 4764, 5228]"
103.841509,1.301741,X Shape,4,"[200, 2465, 3039, 4703]"
103.841276,1.301813,T Shape,3,"[201, 205, 2465]"
103.841568,1.302646,T Shape,3,"[204, 1753, 4761]"
103.832532,1.30473,T Shape,3,"[207, 1026, 2499]"
